document_a,document_b,jaccard_similarity,text_a,text_b
3307,4257,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
808,1976,0.8260869565217391,We are honoring each of the top eight winners of our Student STEM Writing Contest by publishing their essays. This one is by William Chesney.,We are honoring each of the top eight winners of our Student STEM Writing Contest by publishing their essays. This one is by Allison He.
1204,2214,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
3094,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
2149,3314,0.7857142857142857,"Teenage comments in response to our recent writing prompts, and an invitation to join the conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1756,4380,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
2009,2382,1.0,What story does this image inspire for you?,What story does this image inspire for you?
2214,3141,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2741,3710,1.0,What is this image saying?,What is this image saying?
1621,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
983,1064,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
672,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
43,3044,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
2330,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1689,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
3044,4516,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
295,672,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2214,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1204,2330,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2330,3860,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
626,1554,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
1064,1142,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1904,2696,0.5714285714285714,"Thank you to the teenagers who participated this week, and congratulations to our winner, Ula Ekmecic, as well as our many runners-up and honorable mentions.","Thank you to the teenagers who participated this week, and congratulations to our winner, Nina Nzekwe, as well as our many runners-up and honorable mentions."
1844,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
2204,4516,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
437,2459,0.6551724137931034,"This essay, by Erin Tan, is one of the top 9 winners in the high school category of our Seventh Annual Student Editorial Contest for which we received 6,076 entries.","This essay, by Yuanlin Liu, is one of the top 9 winners in the high school category of our Seventh Annual Student Editorial Contest for which we received 6,076 entries."
1204,3089,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1399,3710,1.0,What is this image saying?,What is this image saying?
1103,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1554,3104,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
1602,4977,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1224,3979,1.0,What story does this image inspire for you?,What story does this image inspire for you?
3253,3323,1.0,What story could this image tell?,What story could this image tell?
3094,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
365,3314,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1224,4500,1.0,What story does this image inspire for you?,What story does this image inspire for you?
521,1621,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1051,3269,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
3141,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
521,983,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
3979,4500,1.0,What story does this image inspire for you?,What story does this image inspire for you?
1757,3269,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
1103,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1142,1689,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1142,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1844,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
295,1142,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
365,4257,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
167,1142,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1064,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
3860,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
521,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3141,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
521,672,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
626,2204,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
1064,1621,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1554,3044,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
2149,4574,0.7857142857142857,"Teenage comments in response to our recent writing prompts, and an invitation to join the conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
3094,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
365,1866,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
4257,4574,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
2248,2566,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2566,3141,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2214,3089,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2248,2575,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
780,2877,1.0,A journal of the Plague Year: Week 9.,A journal of the Plague Year: Week 3.
2575,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1204,3860,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
365,2149,0.7857142857142857,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the conversation."
3089,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1204,2566,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
521,1844,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1142,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1866,3314,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
983,1142,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
43,1554,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
3307,4977,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
2248,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2566,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1064,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1224,2382,1.0,What story does this image inspire for you?,What story does this image inspire for you?
626,4391,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
167,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
1204,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
404,2575,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1051,1757,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
295,1621,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
167,1621,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2204,3044,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
295,983,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
167,983,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
365,4574,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
672,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
4039,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
672,1064,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1399,2741,1.0,What is this image saying?,What is this image saying?
3019,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1142,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
2566,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1064,1844,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
404,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
3019,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2214,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
626,4516,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
672,1621,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
167,295,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2382,3552,1.0,What story does this image inspire for you?,What story does this image inspire for you?
3714,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
983,4353,1.0,Live updates on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
3089,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
295,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3269,4131,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
167,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3323,4367,1.0,What story could this image tell?,What story could this image tell?
1051,4380,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
167,672,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1051,1756,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
43,2204,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
3314,4574,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
983,1621,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1757,4380,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
4353,4378,1.0,Live updates on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
3141,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2149,4257,0.7857142857142857,"Teenage comments in response to our recent writing prompts, and an invitation to join the conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
